refinebio_accession_code	experiment_accession	refinebio_age	refinebio_cell_line	refinebio_compound	refinebio_developmental_stage	refinebio_disease	refinebio_disease_stage	refinebio_genetic_information	refinebio_organism	refinebio_platform	refinebio_processed	refinebio_processor_id	refinebio_processor_name	refinebio_processor_version	refinebio_race	refinebio_sex	refinebio_source_archive_url	refinebio_source_database	refinebio_specimen_part	refinebio_subject	refinebio_time	refinebio_title	refinebio_treatment
SRR3129916	SRP068976								HOMO_SAPIENS	Illumina Genome Analyzer (IlluminaGenomeAnalyzer)	True	204	Tximport	v1.13.8-hotfix				SRA				Patient 31 Tumor	
SRR3129917	SRP068976								HOMO_SAPIENS	Illumina Genome Analyzer (IlluminaGenomeAnalyzer)	True	204	Tximport	v1.13.8-hotfix				SRA				Patient 32 Tumor	
SRR3129918	SRP068976								HOMO_SAPIENS	Illumina Genome Analyzer (IlluminaGenomeAnalyzer)	True	204	Tximport	v1.13.8-hotfix				SRA				Patient 33 Tumor	
SRR3129919	SRP068976								HOMO_SAPIENS	Illumina Genome Analyzer (IlluminaGenomeAnalyzer)	True	204	Tximport	v1.13.8-hotfix				SRA				Patient 34 Tumor	
SRR3129920	SRP068976								HOMO_SAPIENS	Illumina Genome Analyzer (IlluminaGenomeAnalyzer)	True	204	Tximport	v1.13.8-hotfix				SRA				Patient 35 Tumor	
SRR3129921	SRP068976								HOMO_SAPIENS	Illumina Genome Analyzer (IlluminaGenomeAnalyzer)	True	204	Tximport	v1.13.8-hotfix				SRA				Patient 38 Tumor	
SRR3129922	SRP068976								HOMO_SAPIENS	Illumina Genome Analyzer (IlluminaGenomeAnalyzer)	True	204	Tximport	v1.13.8-hotfix				SRA				Patient 36 Tumor	
SRR3129923	SRP068976								HOMO_SAPIENS	Illumina Genome Analyzer (IlluminaGenomeAnalyzer)	True	204	Tximport	v1.13.8-hotfix				SRA				Patient 37 Tumor	
SRR3129924	SRP068976								HOMO_SAPIENS	Illumina Genome Analyzer (IlluminaGenomeAnalyzer)	True	204	Tximport	v1.13.8-hotfix				SRA				Patient 39 Tumor	
SRR3129925	SRP068976								HOMO_SAPIENS	Illumina Genome Analyzer (IlluminaGenomeAnalyzer)	True	204	Tximport	v1.13.8-hotfix				SRA				Patient 40 Tumor	
SRR3129926	SRP068976								HOMO_SAPIENS	Illumina Genome Analyzer (IlluminaGenomeAnalyzer)	True	204	Tximport	v1.13.8-hotfix				SRA				Patient 46 Tumor	
