ensembl_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_symbol
ENSG00000101972,1067.1635633278502,0.018846606212102886,0.12609080922510876,0.14946851660263527,0.8811839503847377,0.9037061004537558,STAG2
ENSG00000165168,546.7043864349639,-0.03790711091411071,0.2541608127303929,-0.14914616658202762,0.8814382975885343,0.9038876948750038,CYBB
ENSG00000222047,10.387509076617048,-0.030840886406443314,0.20674775298609582,-0.14917156757934594,0.8814182547301244,0.9038876948750038,C10orf55
ENSG00000213918,478.23760002445374,0.015775989408282398,0.10595359340343082,0.14889527482294496,0.8816362697979977,0.9040114517131832,DNASE1
ENSG00000228786,15.62743442603241,0.022847250470485924,0.1534441225057384,0.148896224224108,0.8816355206361042,0.9040114517131832,SEPTIN14P23
ENSG00000139116,759.4727111178518,-0.019926940843574704,0.13387651797456465,-0.14884567618766903,0.8816754076764638,0.9040119575619338,KIF21A
ENSG00000282936,7.366456202304432,0.03682883366735808,0.2479902179441838,0.14850921932593042,0.8819409106644915,0.9042445530844342,LOC122526780
ENSG00000185669,20.577338531373407,-0.03179419493344417,0.2143342345037163,-0.14833932156037768,0.882074984497552,0.9043423812223883,SNAI3
ENSG00000227355,10.352358728893906,-0.04200797492728791,0.28365329500347264,-0.14809619936469845,0.8822668488399922,0.904499447581468,LOC102723324
ENSG00000134516,293.26250399501174,0.03311840306832186,0.2249044052550611,0.1472554662980599,0.8829303819485456,0.9051400335212906,DOCK2
ENSG00000253837,15.922458941042443,0.018723029816954007,0.12750500318010508,0.14684153052807744,0.8832571033507558,0.9053956188898045,LOXL2-AS1
ENSG00000115457,5574.162900472966,0.041857166594580886,0.2849707937431572,0.14688230342758052,0.883224920231486,0.9053956188898045,IGFBP2
ENSG00000198964,475.631155127781,-0.020149291186466814,0.1378131730597792,-0.14620729455033057,0.8837577472252905,0.9058691166786971,SGMS1
ENSG00000172775,1042.9570692177385,0.011159812557622465,0.07646365825715959,0.14594923669608142,0.8839614624407459,0.9060382285797823,PSME3IP1
ENSG00000213658,334.92375865558716,-0.026708366018406746,0.1834178589453899,-0.145614860908167,0.8842254357281486,0.9062690859616449,LAT
ENSG00000277363,527.609677734808,-0.030017818617061643,0.20672582256914124,-0.14520594594331301,0.8845482715079799,0.9065309856066137,SRCIN1
ENSG00000266357,6.31395124301417,-0.03492242250287347,0.24052409884064976,-0.14519302918586138,0.88455846951894,0.9065309856066137,LINC02074
ENSG00000233087,38.768060144500495,0.11771519679261981,0.8112370183264402,0.1451058003189537,0.8846273387696274,0.9065618493817801,RAB6D
ENSG00000162438,10.263751901656843,0.036659271893303,0.25328173670181625,0.14473713095414084,0.884918421562489,0.9068204238484014,CTRC
ENSG00000162643,3.1190288366632313,0.06370790429340956,0.4434380938232928,0.14366809072293354,0.8857625696589885,0.9076457046753129,DNAI3
ENSG00000135472,5.67024632614613,0.08718757079981283,0.607716321065353,0.14346754855451185,0.8859209385915376,0.907768222359695,FAIM2
ENSG00000129317,415.93444441459275,0.01562981456227855,0.10912943664020425,0.14322271830110764,0.8861142881739769,0.9079265710329745,PUS7L
ENSG00000161835,232.79941856865167,-0.033432366198499416,0.23386016933135845,-0.1429587872705626,0.8863227297901819,0.908100368692262,TAMALIN
ENSG00000165118,314.2959262928655,0.017922090402751428,0.12558814820574923,0.14270526844133355,0.886522955693948,0.9082657339179488,QNG1
ENSG00000162971,232.3739219621995,-0.012392725246169113,0.08708445129588778,-0.14230697973926731,0.8868375336025527,0.908548236120019,TYW5
ENSG00000167216,244.78980386181397,0.02243295281216167,0.15786006182653486,0.14210657561259674,0.8869958243036803,0.9086706073105318,KATNAL2
ENSG00000228570,10.513516004406656,-0.047899495092957725,0.33723181791051643,-0.1420372946708953,0.887050547423538,0.9086868740531978,NUTM2E
ENSG00000178974,302.95696297329886,0.01275234375254245,0.09011932930296318,0.14150508943172022,0.8874709397152416,0.9090777112912661,FBXO34
ENSG00000130517,2013.1961568197266,-0.02489888421335642,0.17603886533275787,-0.1414396995021028,0.8875225938214578,0.9090908151880797,PGPEP1
ENSG00000182873,74.121112016625,-0.02518782796120883,0.17825625218728428,-0.14130123152564283,0.8876319767601432,0.9091630470839366,PRKCZ-AS1
ENSG00000135272,357.8370272167235,-0.027421831116443432,0.19438489805038983,-0.14106976103326171,0.8878148319222686,0.9093105237809821,MDFIC
ENSG00000277352,8.925870829388918,-0.05122607030002012,0.363302637948923,-0.14100109646663792,0.8878690761425193,0.9093262684734449,
ENSG00000261770,17.47028717710783,0.021472854152301615,0.1525744604003948,0.1407368841151481,0.8880778057666091,0.909500223723767,
ENSG00000172476,19.43876471367075,-0.020416383492031225,0.1455993776657376,-0.1402230134451708,0.8884837894408362,0.9098761671579688,RAB40A
ENSG00000079974,546.3878459404167,0.011301763143599031,0.08064060636050276,0.14014977879847096,0.8885416508792142,0.909895589170787,RABL2B
ENSG00000281348,3.8723294912166035,-0.08582970312312303,0.6147821158904734,-0.13960995433122528,0.8889681752356369,0.9102925157928322,
ENSG00000145365,187.43573775094012,-0.02097762032127642,0.15043125554716963,-0.1394498785838999,0.8890946599507223,0.9103593886032038,TIFA
